user_id,products,reviews
278990,109,7
9712539,196,5
6047076,170,12
10068675,25,6
657825,105,5
11040419,58,6
13164920,25,5
919167,181,12
12331740,21,7
4499887,230,5
2211489,307,7
2730192,138,12
11589204,205,10
6988078,243,11
14176582,126,13
10369346,299,11
27420,119,7
12610323,329,7
5677853,328,5
5922774,116,6
110807,101,8
11509589,557,9
1008931,24,5
6315098,1043,7
12364206,147,8
9191843,100,6
11845931,38,7
5123450,385,12
13732981,55,5
8179070,31,7
5025357,454,5
9117719,685,5
7898827,162,7
1179189,214,7
1748777,54,7
6822343,79,15
4232774,144,6
8753599,120,12
928090,123,10
9874814,62,5
5172806,42,15
9121656,49,5
11157862,88,7
4016076,207,7
13602146,122,7
11991321,164,12
5630422,530,10
2180994,47,6
7938320,76,6
10394441,766,14
6499244,665,8
6599282,114,11
1496257,56,6
12446767,411,11
10047,30,5
13579538,38,5
7680888,77,5
3696933,302,11
13533050,80,5
6248673,181,6
968337,325,14
5645507,165,5
12415843,84,5
8165414,78,11
7159140,362,8
6531337,99,14
6036512,83,15
10777654,67,8
13922225,121,13
1331611,117,5
6499232,288,5
8017043,514,5
5078334,75,5
9271206,38,9
13760769,107,7
7432578,130,8
3393859,275,15
9578190,63,12
6669308,147,8
9853927,71,11
13272036,132,5
9200546,66,5
12594335,139,15
8816190,50,6
8513109,78,9
10818980,77,11
1830542,11,8
2002565,432,7
8267991,86,10
11322127,79,12
11464017,63,10
6489533,180,13
6580780,625,7
8643733,109,15
8792941,78,5
7826509,54,6
5975170,225,9
9515522,128,7
13636373,80,13
9204056,35,6
13039816,16,8
8195940,135,10
6809707,75,9
5670354,336,14
4654326,68,8
651376,342,8
8902377,120,5
42810,24,8
11196589,39,15
6602675,293,10
4576515,99,7
6536989,45,7
998418,97,5
6572384,64,8
1254669,39,5
8294748,129,5
5287468,54,15
8160448,199,13
7460402,212,7
10619717,292,8
9932338,124,15
7423518,68,6
12976820,155,5
6640380,176,6
10107393,44,7
13327034,29,9
631985,147,7
3855022,236,5
7411252,92,5
4886240,131,6
9096583,823,5
13538430,49,6
5144688,138,5
8027516,23,6
9853235,164,15
2763766,36,9
13047733,136,6
9802528,527,8
5207486,212,14
12762650,26,5
6757629,216,5
9876340,256,6
2526637,114,8
5771262,91,9
7784203,24,9
1039715,562,8
8492520,30,6
4110348,177,6
448910,73,5
12574635,158,11
3216854,129,6
9558346,88,10
12977397,294,7
8545125,331,5
10061915,135,11
9838883,201,13
6595935,244,15
14041457,115,9
388964,76,9
6120289,48,5
8607488,87,9
7676788,111,8
14049815,100,6
3882017,13,6
2358076,45,5
9290964,913,6
2181169,134,5
10520823,227,7
4256504,222,15
6185051,8,5
2610114,38,8
11718621,207,12
3574408,502,6
11395856,404,12
13769190,150,11
8710993,53,7
6889306,127,5
9081268,39,15
6725496,174,5
5727359,153,5
5610310,51,11
359557,88,14
7180938,223,5
9955968,485,9
8552095,33,5
341166,90,5
6764854,129,5
14068276,32,6
1052416,38,11
857997,53,5
6229866,183,6
2505909,156,5
4891316,176,15
12541049,83,12
6775846,76,7
1043146,22,5
13255831,45,5
14120246,4461,11
1438292,51,11
667443,106,5
6325056,234,7
7770177,56,5
9724298,110,5
2446409,423,8
6110822,56,5
13039608,138,7
11890844,150,11
13923273,416,6
9602920,33,6
8077779,120,5
8285560,170,6
11108757,11,5
4376842,794,10
2183245,41,6
1052199,135,5
5899079,118,5
11493282,100,7
8053377,182,11
12511032,19,5
6594680,63,6
870876,42,7
11608092,779,9
12932457,438,6
11211695,1433,6
10906784,50,7
9915468,76,6
10185257,63,5
12641638,88,5
12644967,15,6
1272738,88,8
14304296,130,6
1624200,41,6
82688,25,6
9480073,172,9
5911399,275,7
8242576,81,8
4913064,310,8
5845430,139,7
5890173,173,12
11167226,220,5
1044472,59,5
4780230,234,13
7920425,50,9
7425122,322,13
13239957,376,6
7259003,63,6
1102028,59,6
334527,118,9
7519762,90,5
1423083,256,7
8201520,96,7
2992430,300,14
3008522,270,6
773436,177,8
6970749,46,7
9781995,44,9
12832647,64,6
9492899,87,6
10260783,123,5
1980097,48,7
5991851,152,5
7066722,135,10
8680050,77,9
6455330,120,11
6402975,54,7
7850319,162,6
5412379,111,13
2566410,82,8
9715218,164,6
9644128,29,5
7740623,557,5
1223709,422,5
13466585,122,10
6497808,454,9
5511432,121,15
9180090,229,8
2362419,35,5
6940766,59,5
6625090,102,8
13878787,204,5
5246325,104,6
13260449,39,6
5531426,129,14
13194629,568,9
14084191,97,7
8946145,40,5
7538860,33,5
528255,14,5
11374875,256,6
7401982,141,7
12526366,109,6
10721221,98,10
12502440,54,5
9859989,37,5
13288688,325,10
12404005,276,11
11064254,50,12
4784184,155,11
11487085,274,9
5555739,814,7
8735727,209,9
4891982,241,5
6691817,208,7
7130609,47,7
2626248,1746,5
1628490,635,13
5272161,340,10
13215940,103,5
8301176,124,6
11495777,815,9
4495905,221,10
11700445,69,5
5148666,133,15
10332716,28,10
14136995,97,15
12855559,47,11
6988989,46,14
11103021,154,9
7920330,360,9
9227119,280,7
10892154,78,13
9412210,48,5
5290226,100,7
9399953,23,10
275634,38,11
11715509,88,9
4031866,41,9
12908463,494,5
14044941,40,5
9850138,51,9
10369201,63,5
6211616,31,5
6802785,131,6
9751802,75,5
5904961,148,8
6154141,46,7
5950581,84,5
1456052,81,6
13670845,29,5
11207317,556,14
12765152,74,6
8311930,19,11
11155730,282,8
690364,487,5
1722110,166,6
879406,91,7
7160691,97,5
10785344,124,12
3379714,20,7
5474946,237,9
10628220,35,5
13244702,113,11
5909808,94,5
436948,138,5
320639,60,5
10221318,397,10
3218846,22,5
8164666,56,5
10678176,188,7
5485671,66,7
563869,764,7
3062913,98,5
1098973,72,6
7830823,52,5
12348649,121,13
5441054,70,14
10843779,203,8
13033066,402,5
11105154,372,5
8411879,30,5
8522052,429,10
10589106,43,12
13121767,90,5
7449964,163,13
8975240,358,8
9531380,868,7
1212055,351,8
8643571,42,5
12429602,45,9
4108744,35,5
6980522,38,6
2510700,98,5
8582734,351,7
1425549,102,10
7332344,206,6
7447764,354,10
7078304,68,13
7497887,287,15
14187857,248,6
8381573,279,9
10804563,101,5
8664822,289,13
8579766,85,9
1064957,32,6
3164592,31,5
2212133,57,7
1867673,119,6
48635,11,9
192391,82,8
3006767,39,7
7974874,173,8
4669943,72,6
5436785,89,5
5899656,221,5
6201447,110,5
5785587,109,5
2943455,20,7
10010485,28,12
6692165,1052,7
10491216,22,6
9487309,77,9
4093344,810,7
628715,36,9
13712027,61,5
288091,88,5
5138675,185,5
496717,130,5
7720751,23,13
14022300,46,6
9673830,13,5
10241583,542,9
13635502,39,6
5277432,146,6
7964032,195,9
10450033,150,6
7604876,210,9
6407998,28,7
10210639,73,5
5674771,366,11
13435866,383,9
13936733,35,8
9507314,39,7
8409396,340,5
60271,25,7
11283922,495,6
1535416,56,5
9543093,99,5
13236246,141,9
7949242,75,8
8187551,282,5
10904614,115,7
3122800,35,9
3513131,124,7
13924054,317,12
7078435,221,7
12096094,232,6
7608744,209,8
9114490,120,5
8153809,268,5
1890537,206,15
10414499,24,7
366530,86,6
10214974,70,8
5429324,119,7
14080296,22,10
9916996,280,6
7442081,150,5
373550,208,7
8826927,224,5
13102412,35,12
7620123,108,9
5192969,377,13
12740784,244,10
3956765,37,5
11254291,406,14
8444910,479,6
11092217,475,15
12585099,206,8
11734653,65,5
4552271,126,7
11132319,42,8
10987409,59,5
5824883,51,6
11358348,647,10
11207344,456,7
11970385,494,5
1805479,263,10
8587977,68,9
3069122,87,12
12342099,29,7
10714505,14,6
2165305,111,5
6396549,311,5
6679895,281,13
4948471,198,5
9215484,105,15
2446658,13,6
8356583,134,6
8088135,66,7
8760645,269,5
11340198,359,10
5753527,435,9
13377854,114,10
1934672,81,5
6964493,123,5
7387730,96,5
1059116,238,15
3567530,94,8
415720,50,7
7069937,107,12
6654237,99,9
650895,24,7
8355885,75,5
12134541,272,14
12050949,73,8
559099,122,7
9675506,231,11
1840141,151,10
9736448,159,7
9921887,110,5
6135966,93,6
6685709,236,9
8978777,177,5
3870314,117,5
6517022,92,5
11399278,371,5
9993498,25,5
2384850,159,10
10817433,147,7
5745935,58,7
1521687,82,10
10695424,829,11
3763866,232,7
1378527,334,5
2191736,145,7
12864332,55,6
2210039,29,6
4424278,260,9
12165946,140,5
12081384,125,6
12478965,33,8
11506251,648,11
519444,749,5
7353285,67,11
4443931,84,6
363077,61,12
5356312,63,6
13248968,239,7
4417684,151,6
5427199,161,8
14229990,71,5
8445660,146,11
8904876,203,9
11063866,49,5
6940096,62,9
4834231,135,7
11186367,239,6
724615,2505,10
6666226,49,5
3433090,204,10
9622388,274,5
6649026,90,5
13188404,614,8
2661936,26,5
5551247,50,8
8732640,69,5
5447136,147,6
8297242,238,7
7039783,317,11
12045790,581,13
2979101,334,5
6241019,250,6
5895561,334,6
12892310,32,6
11229719,711,5
12810944,62,5
4086496,60,5
8993805,43,5
